League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_VG_H,DP_VG_H,CV_VG_H,Media_CG_H,DP_CG_H,CV_CG_H,Media_VG_A,DP_VG_A,CV_VG_A,Media_CG_A,DP_CG_A,CV_CG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA
BRAZIL - SERIE B,14/07/2023,19:00,Botafogo SP,Chapecoense-SC,2.21,3.13,3.55,2.62,1.5,2.18,1.65,0.5206296310442289,0.3219208636714967,0.6183298922610662,0.39546819546819545,0.292896917782704,0.7406333079097368,0.22005772005772,0.2710193358007644,1.2315829489175725,0.6908585577846278,0.3830844278367204,0.5545048599602719,0.45248868778280543,0.3194888178913738,0.28169014084507044,0.38167938931297707,0.6666666666666666,0.20855676358395872
BRAZIL - SERIE B,14/07/2023,19:00,CRB,Avai,1.82,3.48,4.59,2.33,1.62,2.11,1.69,0.369730468256852,0.23264104045858244,0.6292179315256392,0.457922410929013,0.30032854425481403,0.6558502861773474,0.5833785089683456,0.6340561096690441,1.0868691594250146,0.47725865465803546,0.41130648930898334,0.8618104361118227,0.5494505494505494,0.28735632183908044,0.2178649237472767,0.4291845493562232,0.6172839506172839,0.40613174147510395
BRAZIL - SERIE B,14/07/2023,21:30,Atletico GO,Sport Recife,2.41,3.18,3.08,2.39,1.59,2.0,1.77,0.41642369912494404,0.12947009691461048,0.31090953081362493,0.3297154536284971,0.2958070142031689,0.8971584769468097,0.25869565217391305,0.22157330163699707,0.856501838260661,0.5897210778685757,0.34805134960495715,0.5901965567568255,0.41493775933609955,0.31446540880503143,0.3246753246753247,0.41841004184100417,0.6289308176100629,0.1284992566109745
BRAZIL - SERIE B,14/07/2023,21:30,Sampaio Correa,Ituano,1.98,3.26,4.13,2.53,1.53,2.18,1.65,0.6227306565851041,0.24811299669240822,0.3984274646971719,0.2366450049019803,0.12167625189877218,0.5141720694640107,0.27368421052631575,0.3353769303957479,1.225415707215233,0.6733224222585925,0.40036013798955583,0.5946038996393257,0.5050505050505051,0.3067484662576687,0.24213075060532688,0.3952569169960475,0.6535947712418301,0.318425303808405
